faculty,programme,entry_requirement
Faculty of Artificial Intelligence & Engineering (FAIE),Bachelor of Engineering (Hons.) Electronics and Telecommunications,"Entry Requirements Pass Foundation/Matriculation studies in related field from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in Mathematics and Physics; OR Pass A-Level with a minimum of Grade D in Mathematics and Physics; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and Physics; OR Recognised Diploma in Engineering / Engineering Technology or its equivalent with minimum CGPA 2.00; OR Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*; OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a/ Note *DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Engineering Mathematics 1 Circuit Theory Electronics 1 Computer and Program Design Field Theory Electronics 2 Engineering Mathematics 2 Algorithms and Data Structures Introduction to Machines and Power Systems Instrumentation and Measurement Techniques Digital Logic Design Electronics 3 Year 2 Engineering Mathematics 3 Microcontroller and Microprocessor systems Circuits and Signals Electromagnetics Theory Fundamental of Wireless Communications Computer Organisation and Architecture Information Theory and Error Coding Antenna and Propagation Data Communications and Networking Industrial Mathematics Year 3 Digital Communications Communications Networks Digital Signal Processing Capstone Project Industrial Training Embedded IoT Systems and Applications Year 4 Project Analog Communications Advanced Networking Techniques Control Theory Optoelectronics and Optical Communications Elective Modules Java Technology Random Signal and Network Analysis RF Measurement Techniques Power Electronics Software Engineering Multimedia Technology and Application Digital Image and Video Processing Digital System Introductory Data Science Introductory Data Visualization Object Oriented Programming with C++ Cybersecurity Electromagnetic Interference Introductory Mobile Programming VLSI System Design & Modeling Technique RF Circuit Design Satellite Communications Radio Network Planning Towards 5G AI System & Application University Subjects Project Management Engineer and Society Law for Engineers Workplace Communications Character Building Character Development Philosophy and Current Issues Appreciation of Ethics and Civilisations/Bahasa Melayu Komunikasi* Integrity and Leadership Co-curriculum *International students Career Prospects Telecommunications Network Engineer, Telephony Engineer, Switching and Transmission Engineer, Broadcast Engineer, Wireless Hardware Development Engineer, Radio Frequency Design Engineer, Embedded Wireless Software Engineer, Mobile Applications Developer, Telecommunication Equipment Engineer, Project Manager, or Sales & Customer Support Engineer."
Faculty of Artificial Intelligence & Engineering (FAIE),Bachelor of Engineering (Hons.) Electronics majoring in Computer,"Entry Requirements Pass Foundation/Matriculation studies in related field from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in Mathematics and Physics; OR Pass A-Level with a minimum of Grade D in Mathematics and Physics; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and Physics; OR Recognised Diploma in Engineering / Engineering Technology or its equivalent with minimum CGPA 2.00; OR Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*; OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a/ Note *DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Engineering Mathematics 1 Electronics 1 Circuit Theory Field Theory Computer and Program Design Engineer Mathematics 2 Electronics 2 Introduction to Machines and Power Systems Instrumentation and Measurement Techniques Algorithms and Data Structures Digital Logic Design Electronics 3 Year 2 Engineering Mathematics 3 Microcontroller and Microprocessor Systems Circuits and Signals Electromagnetic Theory Computer Organisation and Architecture Object Oriented Programming with C++ Digital Signal Processing Industrial Mathematics Year 3 Software Engineering Operating Systems Advanced Microprocessors Cybersecurity Capstone Project Industrial TrainingSpecialisation: Internet of Things Database Fundamentals Embedded IoT Systems with Cloud IntegrationSpecialisation: Cloud Practitioner Database Fundamentals Database and Cloud Security Year 4 Control Theory Data Communications and Networking ProjectSpecialisation: Internet of Things End-to-End AI SystemsSpecialisation: Cloud Practitioner System Administration Elective Modules Analog and Digital Communications Multimedia Technology and Applications Power Electronics Artificial Intelligence Systems Applications Digital Image and Video Processing Java Technology Introductory Mobile Programming Introductory Data Science Introductory Data Visualisation Digital System VLSI System Design and Modelling Technique University Subjects Project Management Engineer and Society Law for Engineers Fundamentals of Digital Competence for Programmers Character Building Character Development Philosophy and Current Issues Appreciation of Ethics and Civilisations/Bahasa Melayu Komunikasi* Integrity and Leadership Co-curriculum *International students Career Prospects Computer Software Engineer, Cybersecurity Engineer, Computer Network Architect, Big data and Cloud-based Computing Engineer, Internet of Things (IoT) Expert, Systems architecture Designer, or Robotics and Automation Engineer."
Faculty of Computing & Informatics (FCI),Master of Computing (By Research),"Fields of Research Artificial Intelligence Bioinformatics & Medical Information Technology Blockchain/IoT Cryptography Computer Vision Data Communication and Networking Data Science/Data Analytics Human Computer Interaction/Interaction Design Image & Video Processing Information Systems Engineering Natural Language Processing Security Technology Speech & Signal Processing Software Engineering and Architecture Multimedia Systems Entry Requirements A Bachelor’s degree (Level 6, MQF) in Computing or related fields with a minimum CGPA of 3.00 or equivalent, as accepted by the Senate; or A Bachelor’s degree (Level 6, MQF) in Computing or related fields with a minimum CGPA of 2.75 and not meeting CGPA of 3.00 or equivalent, can be accepted subject to rigorous internal assessment; or A Bachelor’s degree (Level 6, MQF) in Computing or related fields with a minimum CGPA of 2.50 and not meeting CGPA of 2.75 or equivalent, can be accepted subject to a minimum of 5 years working experience in the relevant field and rigorous internal assessment; or A Bachelor’s degree in non-computing fields with a minimum CGPA of 2.50 and not meeting CGPA of 3.00 or equivalent, must undergo appropriate prerequisite courses as determined by the HEP with minimum of 5 years working experience in the relevant field and rigorous internal assessment; or Other qualifications equivalent or higher to a Bachelor’s degree (Level 6, MQF) in the field of Computing or related fields recognised by the Government of Malaysia must undergo appropriate prerequisite courses as determined by the HEP. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 1 year, Max. 3 years Part-Time: Min. 2 years, Max. 5 years Intake"
Faculty of Computing & Informatics (FCI),Master of Computer Science via ODL (By Coursework),"Entry Requirements A Bachelor’s degree (Level 6, MQF) in Computing or related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the Senate; OR A Bachelor’s degree (Level 6, MQF) in Computing or related fields with a minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to a minimum of FIVE (5) years of working experience in the related fields and rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-computing fields with a minimum CGPA of 2.00 or equivalent, must undergo appropriate prerequisite courses as determined by the HEP with minimum of 5 years working experience in the relevant field and rigorous internal assessment; OR Other qualifications equivalent to a Bachelor’s degree (Level 6, MQF) in the field of Computing or related fields recognised by the Government of Malaysia must undergo appropriate prerequisite courses as determined by the HEP English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 MUET Band 3 Band 3 Band 4 Band 4 Pearson Test of English 47 51 59 63 Cambridge Qualifications and Test 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Part-Time (only):Min.  2 years, Max. 5 years Intake"
Faculty of Computing & Informatics (FCI),Doctor of Philosophy (Ph.D.) in Computing (By Research),"Fields of Research Artificial Intelligence Bioinformatics & Medical Information Technology Blockchain/IoT Cryptography Computer Vision Data Communication and Networking Data Science/Data Analytics Human Computer Interaction/Interaction Design Image & Video Processing Information Systems Engineering Natural Language Processing Security Technology Speech & Signal Processing Software Engineering and Architecture Multimedia Systems Entry Requirements A Master’s degree in the field or related fields, as accepted by the Senate; OR A Master’s degree (Level 7, MQF) in a non-computing fields, as accepted by the Senate, with a minimum of FIVE (5) years of relevant working experience must undergo appropriate prerequisite courses as determined by the HEP; OR A Master’s degree (Level 7, MQF) in non-computing fields, as accepted by the Senate and with less than FIVE (5) years of relevant working experience, must undergo appropriate prerequisite courses as determined by the HEP and subject to rigorous internal assessment; OR Other qualifications equivalent to a Master’s degree in the field of Computing or related fields recognised by the Government of Malaysia must undergo appropriate prerequisite courses as determined by the HEP; OR A Bachelor’s Degree in Computing or related fields with minimum CGPA of 3.67 or equivalent, as accepted by the HEP Senate can be accepted subject to rigorous internal assessment Notes: • Candidates must have completed at least ONE (1) of their earlier Degrees (Master’s or Bachelor’s) in Computing or related to computing (Programme Standard of Computing). English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 2 years, Max. 5 years Part-Time: Min. 3 years, Max. 7 years Intake Throughout the year"
Faculty of Computing & Informatics (FCI),Bachelor of Digital Enterprise Management (Hons.),"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematic and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; For Bachelor of Digital Enterprise Management (Hons): Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English OR a minimum of Grade C in Mathematics and English at SPM/O-Level or equivalent; OR Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*; OR Posses an APEL.A certificate from MQA into admission of Bachelor programmes. For more programmes please visit https://www.mmu.edu.my/apel-a/ Note: The requirement to Pass Mathematics and English Subjects at SPM Level can be waived should the qualifications contain Mathematics and English subjects with equivalent/ higher achievement. Malaysian students using English as the medium of instruction in their previous study or with at least Band 2 in MUET or equivalent can be exempted from a pass in English requirement. Those without a pass in Mathematics and/or English at SPM level or equivalent can be admitted but are required to attend special enhancement course(s). These special enhancement courses should be SPM equivalent, remedial in nature. Students must pass the Mathematics and English enhancement courses as a prerequisite to related core courses taught in English. (English subject requirement does not apply to international students since they are required to meet certain scores of international English examination and privileged with certain exemptions) * DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement."
Faculty of Computing & Informatics (FCI),Bachelor of Science (Hons.) Intelligent Robotics,"Entry Requirements Pass Foundation / Matriculation studies in related field from a recognised institution with a minimum CGPA of 2.50; OR Pass STPM or its equivalent with a minimum Grade C (GP 2.00) in any 3 subjects inclusive of Mathematics and Physics; OR Pass A-Level with a minimum of Grade D in any three (3) subjects inclusive of Mathematics and Physics; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and Physics; OR Recognised Diploma in the related field with a minimum CGPA of 2.50 or its equivalent;* OR Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.** OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a/ Note *Candidates with CGPA below 2.50 but above 2.0 may be admitted subject to a rigorous internal assessment process. **DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Engineering Calculus Computer and programming Micro-controllers & micro-processors Electrical circuits Basic electronics Differential equations Digital design Linear algebra and numerical methods Rapid modelling Analog electronics Year 2 Linear systems & signals Electromagnetics with applications Electrical machines and power systems Robotics – Machine design and mechanisms Introduction to artificial intelligence Actuators and sensors Electronics instrumentation Robotics – Modelling and control Feedback control Advanced programming Internship Year 3 Mobile robots and drones Machine learning concepts and technologies Project I Project II Machine vision & image processing Elective Modules Hardware Track IOT systems & applications Electronic prototyping and PCB (printed circuit board) layout Making embedded systems Industrial automation and digital control Signal and power integrity Software Track Cybersecurity Software engineering fundamentals Introduction to data science Neural networks and deep learning Robot programming University Subjects MPU-U1: TITAS (local)/Bahasa Melayu Komunikasi 2 (international) MPU-U1 Hubungan etnik (local)/Pengajian Malaysia 3 (international) MPU-U2 Bahasa kebangsaan A/Foreign language*/ Entrepreneurship in Cross Border E-Commerce/ Business and Entrepreneurship In Malaysia MPU-U3 Introduction to multicultural studies in Malaysia/ Introduction to Malaysian Economy/ Islamic Institutions In Malaysia/ Introduction to Multicultural Studies in Malaysia/ Stress and Well-Being Among Malaysians MPU-U4 Co-curriculum Workplace Communications Career Prospects Robotics System Designer/Programmers, AI and Machine Learning Developer, Embedded System Designer, Control and Automation Specialist, Field Application Technologist, Printed Circuit Board (PCB) Designer, Production and Planning Engineer, Industry 4.0 Technologist"
Faculty of Computing & Informatics (FCI),Foundation in Computing,Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least five (5) subjects inclusive of English and Mathematics; OR Pass UEC with a minimum of Grade B in at least three (3) subjects inclusive of Mathematics and English. Programme Structure Trimester 1 Introduction to Business Management Introduction to Computing Technologies Communicative English Mathematics 1 Problem Solving and Programme Design Trimester 2 Critical Thinking Introduction to Digital Systems Essential English Multimedia Fundamentals Mathematics II Principles of Physics Trimester 3 Academic English Mathematics III Mini IT Project
Faculty of Computing & Informatics (FCI),Diploma in Information Technology,"Programme Structure Core Trimester 1 Computer Concepts & Applications Program Design University Learning Skills Mathematical Techniques 1 English Sustainable Society U1 Trimester 2 Database Systems Computer Architecture & Organizations Mathematical Techniques 2 Object Oriented Programming Character Building Trimester 3 System Analysis & Design Elective 1 Elective 2 Trimester 4 Discrete Structures Data Communications & Networking Internet & Web Publishing Data Structures & Algorithms Business Communication in the Digital Age Trimester 5 Introduction to Probability & Statistics Operating Systems Final Year Project Elective 3 U2/U3 U4 Trimester 6 Industrial Training Elective Subjects E-Commerce Multimedia Applications Management Information Systems Mobile Application Development Introduction to Cloud Computing University Subjects U1: 1. LMPU2192 Falsafah dan Isu Semasa (Philosophy and Current Issues) (for local student) 2. LMPU2132 Bahasa Melayu Komunikasi 1 (For international student) U2/U3: 1. LMPU3212 Bahasa Kebangsaan A (For students without credit in BM at SPM Level) Any other courses in the U2 or U3 category below (For students who obtained credit in BM at SPM Level): LMPU2222 Basic Academic Writing LMPU2212 Grooming and Professional Etiquette LMPU2322 Family and Society in Malaysia 2. For International Students, choose one course in the U2/U3 category below: LMPU2222 Basic Academic Writing LMPU2212 Grooming and Professional Etiquette LMPU2322 Family and Society in Malaysia U4: LMPU2402 Personal Social Responsibility"
Faculty of Computing & Informatics (FCI),Bachelor of Computer Science (Hons.),"Programme Structure Core Year 1 Calculus Programming Fundamentals Discrete Structures & Probability Professional Development Computational Methods Object Oriented Programming & Data Structures Computer Architecture & Organisations Database Fundamentals Research Methodology in Computer Science Integrity and Leadership U4 Character Building Sustainable Society Year 2 Software Engineering Fundamentals Operating Systems Computer Networks Object Oriented Analysis & Design Algorithm Design & Analysis Industrial Training U2 Specialisation: Software Engineering Software Requirements Engineering Software Design Specialisation: Game Development Computer Graphics Fundamentals Game Design Fundamentals Specialisation: Data Science Data Science Fundamentals Statistical Data Analysis Specialisation: Cybersecurity Cybersecurity Fundamentals Network Security Year 3 Final Year Project Elective 1 Elective 2 Elective 3 Elective 4 U1 U1 Fundamentals of Digital Competence for Programmers Specialisation: Software Engineering Software Reliability & Quality Assurance Software Verification & Validation Specialisation Elective 1 Specialisation Elective 2 Specialisation: Game Development Game Algorithms 3D Game Programming Specialisation Elective 1 Specialisation Elective 2 Specialisation: Data Science Data Mining Data Visualisation Specialisation Elective 1 Specialisation Elective 2 Specialisation: Cybersecurity Cryptography and Data Security Ethical Hacking and Penetration Testing Specialisation Elective 1 Specialisation Elective 2 Specialisations: Software Engineering: Focuses on designing and developing software systems with innovative methodologies and sophisticated tools. Students are exposed to various techniques of analysing user requirements and specifications, as well as the design, implementation and verification of software system. Game Development: Integrates fundamental concepts of software engineering with both technical and creative aspects of game design and development. Students are exposed to various types of game production – from 2D to 3D, and from virtual to augmented reality game projects. Data Science: Focuses on designing and developing solutions to draw useful insights from the availability of large volumes of data, known as Big Data. Students will receive fundamental training in computer science theories and learn techniques on the processing of Big Data for analytics that can be impactful to business. Cybersecurity: Built on the technical foundation of computer science, the specialization focuses on the array of sophisticated techniques and innovative approaches used to protect data and information systems. Students are exposed to both offensive and defensive security methodologies such as ethical hacking, digital forensics and network security, as well as policies and ethical issues of cybersecurity. Specialisation Elective Modules TWO (2) subjects should be taken from the following based on specialisation: Software Engineering Theory of Computation Programming Language Translation Introduction to Formal Methods Software Evolution Maintenance Game Development Game Production Game Physics Data Science Data Management Visual Information Processing Social Media Computing Cybersecurity Digital and Computer Forensic Database and Cloud Security Blockchain and Smart Contracts Elective Modules Four (4) subjects should be taken from the following: Consumer Trends Creativity and Innovation Becoming A Leader Corporate Training Professional Image and Etiquette Corporate Communication Corporate Strategy Design Thinking for Strategic Communication Social Media Strategies Film Appreciation Basic Filmmaking Suspenseful Filmmaking Fundamental of Wireless Communications Communications Networks Radio Network Planning Towards 5G Internet & Mobile Application Media Anthropology Media Law Project Management Motion Capture Information Visualization Visual & Corporate Identity Accounting for Decision Making Management Personal Finance Fundamentals of Marketing Digital Transformation Strategy Digital Transformation Technologies Ergonomics and Human Factor Machine Vision IoT Design and Interfacing Radio Network Planning Towards 5G Digital Business Business Information Systems Data Analytics for Businesses Cyber Security Understanding Management Fundamentals of Marketing Financial Management Data Analytics for Businesses Business Risk Management Consumer law Labour Law Law and Economics Environmental Law Law of Banking University Subjects U1 – TITAS (Local) or Pengajian Malaysia III (International) U1 – Hubungan Etnik (Local) or BM Komunikasi II (International) U2 – Bahasa Kebangsaan or Foreign Language Beginners U3 – Business and Entrepreneurship in Malaysia U4 – Co-curriculum Career Prospects Career Prospects: Researcher, Programmer, Software Development, Project Manager, System Analyst, Database Administrator, IS/SE Consultant, Game Producer, Game Artist & Visualiser, Data Analyst, Data Scientist, Data Engineer, Cyber Risk Analyst, Security Penetration Tester, Incident Responder, Digital Forensic Specialist, Security Architect, Security Engineer."
Faculty of Computing & Informatics (FCI),Bachelor of Information Technology (Hons.) Information Systems,"Programme Structure Core Year 1 Introduction to Discrete Mathematics and Linear Algebra Calculus and Statistics Fundamental Programming Fundamentals Professional Development Management Object Oriented Programming and Data Structures Computer Architecture and Organization Database Fundamentals Fundamentals of Digital Competence for Programmers Integrity and Leadership U4 Character Building Sustainable Society Year 2 Software Engineering Fundamentals Operating Systems Computer Networks Object Oriented Analysis & Design IT Project Management Information Systems Planning and Development Web Application Development Advanced Database Industrial Training U2 Year 3 System Administration Enterprise Application Integration Enterprise Information Systems Cybersecurity Theory and Practice Final Year Project Elective 1 Elective 2 Elective 3 Elective 4 U1 U1 Elective Modules Four (4) subjects should be taken from the following: Consumer Trends Creativity and Innovation Becoming A Leader Corporate Training Professional Image and Etiquette Corporate Communication Corporate Strategy Design Thinking for Strategic Communication Social Media Strategies Film Appreciation Basic Filmmaking Suspenseful Filmmaking Fundamental of Wireless Communications Communications Networks Radio Network Planning Towards 5G Internet & Mobile Application Media Anthropology Media Law Project Management Motion Capture Information Visualization Visual & Corporate Identity Accounting for Decision Making Personal Finance Fundamentals of Marketing Digital Transformation Strategy Digital Transformation Technologies Ergonomics and Human Factor Machine Vision IoT Design and Interfacing Radio Network Planning Towards 5G Digital Busine Business Information Systems Data Analytics for Businesses Cyber Security Understanding Management Fundamentals of Marketing Financial Management Data Analytics for Businesses Business Risk Management Consumer law Labour Law Law and Economics Environmental Law Law of Banking University Subjects U2 – Bahasa Kebangsaan A or Foreign Language Beginners U1 – Falsafah dan Isu Semasa (Local & International) U4 – Co-Curriculum U1 – Penghayatan Etika dan Peradaban (Local) or BM Komunikasi II (International) Career Prospects Career Prospects: Application Developer, Database Administrator, Business Analyst, IT Consultant, Information Systems Manager."
Open and Distance Learning (ODL),Executive Master of Business Administration (E.M.B.A) via ODL (By Coursework),"Entry Requirements A Bachelor’s degree (Level 6, MQF) in related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the HEP Senate; OR A Bachelor’s degree (Level 6, MQF) in related fields with a minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted, subject to a rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and with relevant working experience, subject to a rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and without working experience, subject to passing pre-requisite courses; OR Other equivalent/related qualifications to a Bachelor’s degree (Level 6, MQF) recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Duration of Candidature The candidature for full-time basis is minimum 1 year and maximum 3 years while the candidature for part-time basis is minimum 2 years and maximum 5 years. Programme Intake March, July & October Programme Structure Full Time Semester 1 (17 Weeks) Marketing Innovations Managing Human Capital Management of Strategy Business Research Methods Business Economics Semester 2 (17 Weeks) Management Information Systems & IT Governance Accounting and Finance for Managers Ethics and Social Resposibility for Entrepreneurs Elective 1 Elective 2 Final Project Notes Core subjects (4 credit hours); Electives (2 credit hours) and Final Project (6 credit hours). Students are required to complete Semester 1 subjects before registering for Final Project. Students are to choose 2 elective subjects from the following subjects: – Service Marketing – Contemporary Corporate Finance – Project Management – Legal Informatics for Managers Part Time Semester 1 (17 Weeks) Marketing Innovations Managing Human Capital Management of Strategy Semester 2 (17 Weeks) Business Research Methods Business Economics Management Information Systems & IT Governance Semester 3 (17 Weeks) Accounting and Finance for Managers Ethics and Social Responsibility for Entrepreneurs Elective 1 Elective 2 Semester 4 (17 Weeks) Final Project Notes Core subjects (4 credit hours); Electives (2 credit hours) and Final Project (6 credit hours). Students are required to complete Semester 1 subjects before registering for Final Project. Students are to choose 2 elective subjects from the following subjects: – Service Marketing – Contemporary Corporate Finance – Project Management – Legal Informatics for Managers"
Open and Distance Learning (ODL),Bachelor of Management (Hons.),"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent.; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematics and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; OR Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field*; OR Possess APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a . Note: The requirement to Pass Mathematics and English Subjects at SPM Level can be waived should the qualifications contain Mathematics and English subjects with equivalent/ higher achievement. Malaysian students using English as the medium of instruction in their previous study or with at least Band 2 in MUET or equivalent can be exempted from a pass in English requirement. Those without a pass in Mathematics and/or English at SPM level or equivalent can be admitted but are required to attend special enhancement course(s). These special enhancement courses should be SPM equivalent, remedial in nature. Students must pass the Mathematics and English enhancement courses as a prerequisite to related core courses taught in English. (English subject requirement does not apply to international students since they are required to meet certain scores of international English examination and privileged with certain exemptions) *DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Entry Requirements (International) Pass Foundation / Matriculation studies from a recognised institution; OR Pass STPM or its equivalent with a minimum Grade C (GP 2.00) in any 2 subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum Grade D in any 2 subjects AND a Pass in Mathematics and English at SPM Level or its equivalent: OR Pass Diploma from a recognised institution AND A minimum score of 5.5 in IELTS or its equivalent Programme Structure MPU Courses (U1-U4) U1 – Appreciation of Ethics and Civilisation (Local students) / Bahasa Komunkasi 2 (International students) – Philosophy and Current Issues U2 (select one) – Integrity and Leadership – Bahasa Kebangsaan A (compulsory to those who failed BM SPM – local students) U3 (Select one) – Islamic Institution in Malaysia – Stress and Wellbeing among Malaysians – Introduction to Multicultural Studies in Malaysia U4 (Select one) – German Culture and Communication – Personal Social Responsibility – Arabic Culture and Communication – Chinese Culture and Communication – Japanese Culture and Communication – French Culture and Communication – Korean Culture and Communication – Spanish Culture and Communication University courses – Foundation of Critical Thinking – Essential Skills for Online Learning – Fundamentals of Digital Competence with Basic Programming Common Core – Business and Society – Business Law – Digital Transformation Technologies – Fundamentals of Economics – English for Business Communication – Entrepreneurship – Global Management – Human Resource Management – Management Information System – Accounting for Business – Organisational Behaviour – Principles of Finance – Principles of Management – Principles of Marketing – Production and Operations Management – Quantitative Methods – Strategic Management Discipline Core – Consumer Behaviour – Industrial Relations – Small Business Management – Leadership – Managing Technology in Organisations – Organisational Development – Organisational Change and Innovation Management – Project Management – Psychology – Research Methods for Business – TQM for Managers Electives (Choose any 5 subjects) TRI 1: – Training & Development – Service Marketing – Marketing Strategy – Labour Economics TRI 2: – Recruitment & Selection – Compensation & Benefit – Sales Management – Marketing Communication Note: Students are advised to follow programme structure to ensure timely graduation by registering available subjects that are offered for each respective trimester."
